#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2019085221934                                                     
#Sectors = s0010-s0010                                                          
#Created Date = 2021-10-25                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00001695417-01,1695417,1,s0010,2021-10-25,5.6339100000000002,0.000173571,1573.24,0.000441252,2458573.2400000002,0.000441252,2.3434199999999999E-2,5.5965399999999998E-2,10.7338,9.4065599999999999E-2,89.946600000000004,0.594329,9.9998299999999995E-3,7.9522300000000004E-2,4.1097799999999998,1.6931999999999999E-2,9.4380699999999998E-2,8.4659799999999997E-3,638.94399999999996,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.52430220000000005,9.9224679999999996E-2,0.16407099999999999,-0.13526560000000001,4,mandel-agol_geometric_transit_model,true,7.3672139999999997,1673.636,1736.98,7.3845010000000002,48.864370000000001,977.04330000000004,124,1241.999,4.1013200000000003,17.3567,6.3373799999999994E-2,0.00446796,1306.97,70.358400000000003,689.57000000000005,837.81299999999999,1,00000000001,5889.0,127.932,4.0567000000000002,7.6526899999999995E-2,0.0,0.0,1.60314,7.5829099999999997E-2,0.25925589999999998,0.04730065,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,5.6083307266235396,-1.0,1573.28948732039,-1.0,2458573.2894873205,-1.0,2.9652409544274301,-1.0,1.2273027037706501,-1.0,2438.5339458476601,-1.0,true,17920,1201,2.5933890000000002,224.6611,0.03535,0.64952880000000002,2.7008999999999999,-2.8522439999999998,-0.77641000000000004,3.91109,52.751519999999999,31.331140000000001,0.0,0.0,0.0,29.510490000000001,45.552570000000003,4709.7610000000004,1814.759,0.62588109999999997,1.8743879999999999,1.07197809896578E-140,8.2537190000000002,-0.5868101,1.265342,4,-1.07724,4.2788880000000002,10.67567,2.54312,-8.9923839999999995,2.5578889999999999,13.95825,2.5492599999999999,10.35416,2.5430799999999998,-9.9406909999999993,2.5578829999999999,14.3536,2.5501909999999999
00001728294-01,1728294,1,s0010,2021-10-25,14.8573,0.000173571,1574.8900000000001,0.000441252,2458574.8900000001,0.000441252,0.106505,5.5965399999999998E-2,66.3048,9.4065599999999999E-2,89.701499999999996,0.594329,0.34540900000000002,7.9522300000000004E-2,1.7995699999999999,1.6931999999999999E-2,0.194468,8.4659799999999997E-3,13052.9,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.66634289999999996,0.27513850000000001,-0.22131490000000001,4.4409410000000003E-2,2,mandel-agol_geometric_transit_model,true,12.209680000000001,648.24950000000001,636.00229999999999,6.8951500000000001,5.3578799999999998,0.78181,89,118.5211,3.9474200000000002,17.3567,8.1118899999999994E-2,0.00446796,295.279,70.358400000000003,1.7965899999999999,837.81299999999999,1,00000000001,3271.0,157.0,4.8843399999999999,0.00112078,0.0,0.0,0.339501,0.0102779,8.2318709999999999,0.2501118,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,14.8541603088379,-1.0,1574.88867909434,-1.0,2458574.8886790941,-1.0,1.7559124586552901,-1.0,0.26586581746169602,-1.0,14906.3143063756,-1.0,true,17807,705,2.0647799999999998,2707.9319999999998,0.0494617,0.60059229999999997,5.2984600000000004,-5.9047809999999998,-2.1097399999999999,0.529144,10.09801,13.485580000000001,7.5098570000000003E-2,0.0,0.0,629.1146,370.2099,2286.415,353.62639999999999,1.696644,5.6260529999999997,1.8515572924241899E-14,8.92347,-1.6047659999999999,1.9931719999999999,2,8.7081800000000005,1.0666340000000001,2.207821,2.9536609999999999,-0.60816689999999995,3.082538,2.2900520000000002,2.9629340000000002,4.76023,2.9536539999999998,2.082646,3.082535,5.1958830000000003,2.9747370000000002
00001736351-01,1736351,1,s0010,2021-10-25,0.53470600000000001,0.000173571,1569.73,0.000441252,2458569.73,0.000441252,5.5474000000000002E-2,5.5965399999999998E-2,1.24421,9.4065599999999999E-2,40.884,0.594329,0.94067100000000003,7.9522300000000004E-2,2.5667900000000001,1.6931999999999999E-2,1.0691900000000001,8.4659799999999997E-3,2410.5500000000002,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.64250289999999999,-0.33951409999999999,0.75867119999999999,-0.36524220000000002,40,mandel-agol_geometric_transit_model,true,19.630410000000001,9114.6360000000004,10745.18,13.27425,55.711640000000003,37.808010000000003,1745,1660.6759999999999,13.352,17.3567,0.0126321,0.00446796,3148.52,70.358400000000003,23224.400000000001,837.81299999999999,1,00000000001,5401.0,136.51400000000001,3.7240199999999999,8.2992399999999994E-2,0.0,0.0,2.2047300000000001,0.13029199999999999,8.7632340000000003E-2,1.7528760000000001E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.53438484668731701,-1.0,1569.73423367943,-1.0,2458569.7342336792,-1.0,2.0144479263751101,-1.0,0.65340329282211096,-1.0,1854.2670476541,-1.0,true,16305,7555,1.4091309999999999,104.4203,0.41595,1.111475,3.1977799999999998,-6.2722449999999998,0.20831,0.138866,6.1582730000000003,15.256740000000001,4.6885810000000001,0.0,0.0,5.1418249999999999E-2,3.6318089999999997E-2,2318.0650000000001,406.21469999999999,-26.11871,-1.9446779999999999,5.0979345066061401E-51,7.4455359999999997,0.40065679999999998,0.99184799999999995,49,14.31399,4.0132690000000002,2.6411600000000002,2.5176910000000001,-20.35202,2.516556,20.522680000000001,2.516575,2.2647089999999999,2.517687,-20.675940000000001,2.5165519999999999,20.799600000000002,2.5165660000000001
00005714469-01,5714469,1,s0010,2021-10-25,0.431257,0.000173571,1569.78,0.000441252,2458569.7799999998,0.000441252,0.25621500000000003,5.5965399999999998E-2,1.5172099999999999,9.4065599999999999E-2,50.147300000000001,0.594329,0.97225099999999998,7.9522300000000004E-2,2.4769199999999998,1.6931999999999999E-2,1.2384599999999999,8.4659799999999997E-3,30528.900000000001,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.67225999999999997,0.2420428,-0.17487910000000001,2.6575000000000001E-2,44,mandel-agol_geometric_transit_model,true,18.638649999999998,9142.3349999999991,10969.969999999999,15.59995,65.158910000000006,64.011799999999994,1870,2232.299,11.2372,17.3567,8.1902599999999996E-3,0.00446796,899.31600000000003,70.358400000000003,154.58600000000001,837.81299999999999,1,00000000001,2910.0,157.0,4.8250500000000001,3.9354300000000002E-3,0.0,0.0,0.40174700000000002,1.2301299999999999E-2,6.0687189999999998,0.19378790000000001,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.43115454912185702,-1.0,1569.77672806124,-1.0,2458569.776728061,-1.0,2.29567506567505,-1.0,0.95553293994228605,-1.0,29673.172872576899,-1.0,true,14645,6689,6.4780069999999998,8774.857,-1.41454,1.998011,8.0937800000000006,-4.7060060000000004,0.24779999999999999,0.192243,13.537929999999999,12.734529999999999,0.1636147,0.0,0.0,2.564432,3.8274530000000002,1759.546,663.29340000000002,0.40873979999999999,1.293418,9.4957784413923602E-20,10.077970000000001,0.2078265,1.3889320000000001,61,16.781020000000002,6.2639760000000004,12.783440000000001,2.5029699999999999,34.648650000000004,2.5042490000000002,36.931629999999998,2.5040960000000001,-3.555863,2.5029140000000001,0.90908239999999996,2.5042469999999999,3.6702300000000001,2.502996
00005868998-01,5868998,1,s0010,2021-10-25,0.63553599999999999,0.000173571,1569.9300000000001,0.000441252,2458569.9300000002,0.000441252,0.30438300000000001,5.5965399999999998E-2,3.66906,9.4065599999999999E-2,75.389399999999995,0.594329,0.92551499999999998,7.9522300000000004E-2,1.2714099999999999,1.6931999999999999E-2,0.63570300000000002,8.4659799999999997E-3,51407.300000000003,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.7073081,-2.5391150000000001E-2,0.19437570000000001,-0.1047849,32,mandel-agol_geometric_transit_model,true,98.047309999999996,5260.6130000000003,6210.1040000000003,88.589219999999997,703.30769999999995,165.69489999999999,899,1590.3979999999999,26.038599999999999,17.3567,0.0116916,0.00446796,1316.3800000000001,70.358400000000003,709.64599999999996,837.81299999999999,1,00000000001,3644.0,122.0,4.3716900000000001,0.0,0.0,0.0,0.78360099999999999,0.0,1.0954550000000001,0.0,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.63547778129577603,-1.0,1569.93489443628,-1.0,2458569.9348944365,-1.0,1.2363728609808999,-1.0,0.52565291691601401,-1.0,52434.592907868901,-1.0,true,14567,7264,2.3625620000000001,993.81600000000003,-0.423544,0.882938,2.4267599999999998,-2.916369,0.17018,0.472955,17.379300000000001,74.002889999999994,0.56427660000000002,0.0,0.0,0.1102289,0.1126041,1172.72,302.05939999999998,-7.9017660000000003,-0.47060590000000002,0.0,7.151878,0.1214672,0.98978409999999994,41,59.156550000000003,13.92459,-0.51549149999999999,2.5041929999999999,-0.45346049999999999,2.5055399999999999,0.68655509999999997,2.5047809999999999,-2.0210059999999999,2.5041769999999999,-8.1411949999999997E-2,2.5055269999999998,2.0226449999999998,2.5041790000000002
00005969274-01,5969274,1,s0010,2021-10-25,1.0578799999999999,0.000173571,1569.6199999999999,0.000441252,2458569.6200000001,0.000441252,7.1034700000000006E-2,5.5965399999999998E-2,1.4645600000000001,9.4065599999999999E-2,47.4649,0.594329,0.99010500000000001,7.9522300000000004E-2,3.1366999999999998,1.6931999999999999E-2,1.5683499999999999,8.4659799999999997E-3,2317.21,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.54567370000000004,4.7905360000000001E-2,1.9947969999999999E-2,-3.8975469999999998E-2,20,mandel-agol_geometric_transit_model,true,32.983359999999998,6050.3119999999999,6981.8739999999998,26.981560000000002,85.121189999999999,11.783709999999999,1198,1262.798,27.470800000000001,17.3567,2.5188700000000001E-2,0.00446796,4149.1199999999999,70.358400000000003,70040.0,837.81299999999999,1,00000000001,7929.0,154.52500000000001,3.6186799999999999,7.8377199999999994E-2,0.0,0.0,3.5424000000000002,0.10477300000000001,4.2793930000000001E-2,7.8260589999999998E-3,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,1.0582072734832799,-1.0,1569.6175594707199,-1.0,2458569.6175594707,-1.0,2.9255162916434099,-1.0,1.14239758196788,-1.0,2064.2947748773699,-1.0,true,17324,7535,3.8391899999999999,433.86070000000001,-0.449244,0.82144240000000002,4.6547499999999999,-3.4711959999999999,-0.21656,0.338866,6.0304799999999998,18.6342,4.8223340000000003E-2,0.0,0.0,0.20067599999999999,0.19806850000000001,4293.5900000000001,1054.6559999999999,-4.0355939999999997,0.1356144,4.39761982497039E-44,8.7902050000000003,-1.626879,1.4601010000000001,25,0.0,0.0,-18.506930000000001,2.5001760000000002,8.7471099999999993,2.5001350000000002,20.469940000000001,2.5001690000000001,-22.290379999999999,2.5000680000000002,9.2021999999999995,2.5001319999999998,24.115169999999999,2.5000770000000001
00005981829-01,5981829,1,s0010,2021-10-25,1.7990900000000001,0.000173571,1571.1199999999999,0.000441252,2458571.1200000001,0.000441252,0.281331,5.5965399999999998E-2,3.3191700000000002,9.4065599999999999E-2,81.100399999999993,0.594329,0.51349,7.9522300000000004E-2,5.0319700000000003,1.6931999999999999E-2,1.45811,8.4659799999999997E-3,85781.100000000006,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.44110129999999997,0.44924579999999997,-0.34501910000000002,8.1802390000000003E-2,11,mandel-agol_geometric_transit_model,true,380.60419999999999,6591.8699999999999,8087.9539999999997,197.81139999999999,3276.4360000000001,1249.672,979,10983.52,73.067599999999999,17.3567,3.0565200000000001E-2,0.00446796,2400.4000000000001,70.358400000000003,7846.1800000000003,837.81299999999999,2,00000000001,6166.0,127.21599999999999,3.7553000000000001,8.5063700000000006E-2,0.0,0.0,2.37906,0.10910599999999999,8.7275920000000007E-2,1.7556760000000001E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,1.7986103296279901,-1.0,1571.12410381158,-1.0,2458571.1241038116,-1.0,4.73784154853315,-1.0,1.3495032529861299,-1.0,85958.514427727598,-1.0,true,48252,7426,27.617930000000001,9290.7510000000002,-0.193518,2.0643410000000002,33.202649999999998,-19.258749999999999,0.90137,0.941643,94.082710000000006,243.62209999999999,6.9327169999999994E-2,5.857241E-12,0.0,0.89439990000000003,0.1246855,3609.174,82.003460000000004,-0.84693090000000004,9.661149,0.0,6.4259750000000002,-0.32598860000000002,0.95384250000000004,14,260.88099999999997,79.199659999999994,-6.8634979999999998E-2,2.5000040000000001,-2.8019390000000002E-2,2.500006,7.4133980000000002E-2,2.5000040000000001,-0.3717337,2.500003,-0.60081289999999998,2.5000040000000001,0.70651399999999998,2.5000040000000001
00005981829-02,5981829,2,s0010,2021-10-25,1.7990900000000001,0.000173571,1570.22,0.000441252,2458570.2200000002,0.000441252,0.14398,5.5965399999999998E-2,2.5089700000000001,9.4065599999999999E-2,72.369399999999999,0.594329,0.75991500000000001,7.9522300000000004E-2,5.0264499999999996,1.6931999999999999E-2,1.3754599999999999,8.4659799999999997E-3,20680.099999999999,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.44110129999999997,0.44924579999999997,-0.34501910000000002,8.1802390000000003E-2,12,mandel-agol_geometric_transit_model,true,78.322109999999995,6236.6909999999998,7955.3280000000004,48.330440000000003,215.67349999999999,37.159820000000003,1259,1920.511,37.394799999999996,17.3567,3.0565200000000001E-2,0.00446796,2400.4000000000001,70.358400000000003,7846.1899999999996,837.81299999999999,2,00000000001,6166.0,127.21599999999999,3.7553000000000001,8.5063700000000006E-2,0.0,0.0,2.37906,0.10910599999999999,8.7275920000000007E-2,1.7556760000000001E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,1.7986103446344299,-1.0,1570.2247409286299,-1.0,2458570.2247409285,-1.0,4.89799288105442,-1.0,1.2724753117376899,-1.0,20840.517642496099,-1.0,true,19092,7571,-0.1226199,-57.682189999999999,-0.0143402,0.6846373,2.2643499999999999,-3.653095,1.2444200000000001,1.30692,20.238,55.515210000000003,0.21181050000000001,0.0,5.857241E-12,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,6.4277240000000004,-0.3809884,0.96166229999999997,15,62.908999999999999,19.07592,0.14888709999999999,2.500019,0.24834809999999999,2.5000290000000001,0.2895585,2.5000260000000001,-0.17553240000000001,2.5000179999999999,-0.33828439999999999,2.5000279999999999,0.38111420000000001,2.5000260000000001
00009438317-01,9438317,1,s0010,2021-10-25,11.8048,0.000173571,1579.8499999999999,0.000441252,2458579.8500000001,0.000441252,6.7192600000000005E-2,5.5965399999999998E-2,41.475099999999998,9.4065599999999999E-2,89.970799999999997,0.594329,2.1130599999999999E-2,7.9522300000000004E-2,2.3202600000000002,1.6931999999999999E-2,0.146176,8.4659799999999997E-3,5341.6899999999996,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.6762937,0.1576284,-8.3009630000000001E-2,6.3462529999999996E-3,2,mandel-agol_geometric_transit_model,true,8.6422860000000004,642.83630000000005,684.37819999999999,7.2278070000000003,5.6472300000000004,1.8250200000000001,119,117.58499999999999,4.1479400000000002,17.3567,8.3626199999999998E-2,0.00446796,437.28399999999999,70.358400000000003,8.6412399999999998,837.81299999999999,1,00000000001,3811.0,157.0,4.6806299999999998,1.0053299999999999E-2,0.0,0.0,0.56546799999999997,1.6808799999999999E-2,3.0918749999999999,0.1164886,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,11.7930507659912,-1.0,1579.85748135581,-1.0,2458579.8574813558,-1.0,1.95273787036646,-1.0,8.4673662834645502E-2,-1.0,8441.6496410731597,-1.0,true,15973,954,2.294127,1605.518,0.000286294,0.59982230000000003,2.99803,-3.4261339999999998,7.0985899999999997,3.47914,11.30955,12.14231,0.93823230000000002,0.0,0.0,359.01330000000002,240.46619999999999,2942.9430000000002,507.15899999999999,1.4888300000000001,4.9373930000000001,3.1279934033863098E-13,8.6480320000000006,-3.0384310000000001,2.109966,2,1.8104849999999999,-0.6209325,5.4894040000000004,4.9684210000000002,11.55918,6.3529059999999999,12.79641,6.1216819999999998,6.0778470000000002,4.9684179999999998,10.45363,6.3529049999999998,12.092090000000001,6.033201
00009560459-01,9560459,1,s0010,2021-10-25,9.5733099999999993,0.000173571,1572.3199999999999,0.000441252,2458572.3199999998,0.000441252,0.112901,5.5965399999999998E-2,28.059799999999999,9.4065599999999999E-2,88.218900000000005,0.594329,0.87212900000000004,7.9522300000000004E-2,1.8029299999999999,1.6931999999999999E-2,0.68987900000000002,8.4659799999999997E-3,11192.299999999999,432.97000000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.65101770000000003,5.8669489999999998E-2,9.6310750000000001E-2,-0.04465997,2,mandel-agol_geometric_transit_model,true,16.39105,755.66510000000005,540.58230000000003,15.50807,27.633220000000001,51.689070000000001,81,187.351,8.3058899999999998,17.3567,7.6268799999999998E-2,0.00446796,517.70000000000005,70.358400000000003,16.975899999999999,837.81299999999999,1,00000000001,3947.0,162.0,4.5902799999999999,0.0132687,0.0,0.0,0.67388400000000004,2.1223100000000002E-2,2.1071469999999999,9.2457800000000007E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,9.57916259765625,-1.0,1572.29402785402,-1.0,2458572.2940278542,-1.0,2.23964242341563,-1.0,7.8161093100605605E-3,-1.0,790.18945489991495,-1.0,true,29639,803,3.5255040000000002,2355.364,0.0246534,0.63405040000000001,5.5153100000000004,-5.4272429999999998,4.3360900000000004,4.39303,24.288779999999999,26.387560000000001,0.0,0.0,0.0,109.2585,32.767870000000002,2587.8110000000001,220.38659999999999,3.3037999999999998,9.3483649999999994,2.1927928383364099E-44,11.224919999999999,-2.1076790000000001,2.0461469999999999,3,8.5418649999999996,1.823161,-0.108959,2.5995089999999998,0.65361970000000003,2.6052270000000002,0.66263930000000004,2.6050719999999998,0.72634299999999996,2.5995080000000002,0.10670540000000001,2.605226,0.73413899999999999,2.5996290000000002
