#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2018263124740                                                     
#Sectors = s0003-s0003                                                          
#Created Date = 2021-06-01                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00003815360-01,3815360,1,s0003,2021-06-01,9.9964700000000004,8.8323299999999995E-5,1385.97,1.3041400000000001E-3,2458385.9700000002,1.3041400000000001E-3,0.16434099999999999,4.5265499999999998E-3,10.085900000000001,0.0134447,84.369299999999996,0.41108099999999997,0.98959200000000003,6.4228000000000002E-3,4.6707599999999996,3.1643299999999999E-2,2.3353799999999998,1.5821600000000002E-2,11595.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.51694119999999999,0.1276832,0.1178085,-0.1168464,2,mandel-agol_geometric_transit_model,true,163.2895,763.90480000000002,804.18430000000001,55.494630000000001,190.005,1046.8710000000001,89,1086.1610000000001,30.196300000000001,2.7738999999999998,0.12856500000000001,1.6400200000000001E-3,957.452,143.72,198.60400000000001,6774.1899999999996,1,0001,5997.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.6830799999999999,0.0,1.0,0.0,TIC8.1,Solar,Solar,TIC8.1,Solar,9.9791622161865199,-1.0,1385.99854882978,-1.0,2458385.9985488299,-1.0,3.61733893101523,-1.0,1.30356257866442,-1.0,9132.3904735994693,-1.0,true,14595,538,2.7355429999999998,206.32650000000001,0.0160159,0.63188109999999997,3.1579600000000001,-4.9231809999999996,2.4083100000000002,1.08748,89.271900000000002,42.036349999999999,0.0,0.0,0.0,2.057633,1.257884,1772.962,270.96129999999999,0.84080319999999997,3.0096919999999998,0.0,5.0935680000000003,1.439881,0.56697929999999996,3,104.18040000000001,9.6033150000000003,-0.80284089999999997,2.502176,-1.0729850000000001,2.501897,1.340093,2.5019969999999998,0.29374640000000002,2.5021740000000001,-1.3302970000000001,2.5018959999999999,1.3623419999999999,2.5019089999999999
00003816260-01,3816260,1,s0003,2021-06-01,13.1281,8.8323299999999995E-5,1390.53,1.3041400000000001E-3,2458390.5299999998,1.3041400000000001E-3,0.556091,4.5265499999999998E-3,20.961099999999998,0.0134447,88.001199999999997,0.41108099999999997,0.73108499999999998,6.4228000000000002E-3,6.5811599999999997,3.1643299999999999E-2,3.2905799999999998,1.5821600000000002E-2,231785.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.42713489999999998,0.51662640000000004,-0.46387410000000001,0.13562859999999999,2,mandel-agol_geometric_transit_model,true,1858.2670000000001,2200.0320000000002,1810.52,2007.3710000000001,354741.09999999998,28.866859999999999,268,216176.60000000001,126.182,2.7738999999999998,0.117698,1.6400200000000001E-3,1178.04,143.72,455.15899999999999,6774.1899999999996,2,0001,6353.0,131.70400000000001,3.9029400000000001,8.7682200000000002E-2,0.0,0.0,2.0784899999999999,9.9024899999999999E-2,0.14034340000000001,2.9112949999999999E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,13.1277723312378,-1.0,1390.5266025145099,-1.0,2458390.5266025146,-1.0,6.1048435828725598,-1.0,2.54162598754752,-1.0,229304.691272431,-1.0,true,3262134,2132,956.48869999999999,147843.39999999999,1.71235,13.43566,1141.0730000000001,-566.73170000000005,-2.7583500000000001,-2.95141,1438.704,2028.789,0.72676830000000003,0.0,1.5368039999999999E-9,70.76549,14.10697,5282.7060000000001,218.97319999999999,4.9454609999999999,18.319189999999999,0.0,5.6255699999999997,-0.1855754,1.1572560000000001,2,996.11940000000004,212.88650000000001,-0.15988250000000001,2.500013,-0.49394290000000002,2.500013,0.51917440000000004,2.500013,0.31586350000000002,2.5000119999999999,-0.14364160000000001,2.5000119999999999,0.34699089999999999,2.5000119999999999
00003816260-02,3816260,2,s0003,2021-06-01,13.1281,8.8323299999999995E-5,1387.76,1.3041400000000001E-3,2458387.7599999998,1.3041400000000001E-3,0.58409599999999995,4.5265499999999998E-3,17.452400000000001,0.0134447,87.053299999999993,0.41108099999999997,0.897173,6.4228000000000002E-3,7.5193500000000002,3.1643299999999999E-2,3.7596799999999999,1.5821600000000002E-2,183257.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.42713489999999998,0.51662640000000004,-0.46387410000000001,0.13562859999999999,2,mandel-agol_geometric_transit_model,true,1582.2090000000001,1738.501,2074.1399999999999,1505.4680000000001,200037.20000000001,671.41980000000001,277,107089.89999999999,132.536,2.7738999999999998,0.117698,1.6400200000000001E-3,1178.04,143.72,455.15800000000002,6774.1899999999996,2,0001,6353.0,131.70400000000001,3.9029400000000001,8.7682200000000002E-2,0.0,0.0,2.0784899999999999,9.9024899999999999E-2,0.14034340000000001,2.9112949999999999E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,13.1305502458754,-1.0,1387.76242037613,-1.0,2458387.7624203763,-1.0,6.99689024556527,-1.0,2.85461583626592,-1.0,179474.49067082399,-1.0,true,16587,2365,15.783340000000001,3435.5120000000002,-0.142191,2.1255039999999998,80.04898,-25.026630000000001,-0.55001999999999995,0.855532,1005.553,1404.748,1.210315,1.5368039999999999E-9,0.0,1.4905109999999999,0.33724539999999997,2012.4939999999999,99.289510000000007,1.4544619999999999,7.5816520000000001,0.0,5.0251260000000002,0.56524099999999999,0.88676310000000003,2,926.89120000000003,144.9939,-0.10591109999999999,2.5000179999999999,-0.51291869999999995,2.500019,0.52373919999999996,2.500019,0.4154658,2.5000170000000002,-0.22647349999999999,2.5000179999999999,0.47318290000000002,2.5000170000000002
00003921749-01,3921749,1,s0003,2021-06-01,2.8055500000000002,8.8323299999999995E-5,1383.0599999999999,1.3041400000000001E-3,2458383.0600000001,1.3041400000000001E-3,0.42707400000000001,4.5265499999999998E-3,15.278,0.0134447,89.625,0.41108099999999997,0.10000000000000001,6.4228000000000002E-3,2.0,3.1643299999999999E-2,0.60420499999999999,1.5821600000000002E-2,342696.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.65665130000000005,-0.16293340000000001,0.43707509999999999,-0.1606611,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,1300.5940000000001,149999.5,204080.0,357,293771.79999999999,39.517600000000002,2.7738999999999998,0.0333916,1.6400200000000001E-3,890.80899999999997,143.72,148.81999999999999,6774.1899999999996,2,0001,4007.0,128.51400000000001,4.3810399999999996,0.125003,0.0,0.0,0.84758699999999998,9.1175800000000001E-2,1.0347980000000001,0.3179671,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,2.8055543899536102,-1.0,1383.0659959115501,-1.0,2458383.0659959116,-1.0,2.9431686374114299,-1.0,1.2328203763474499,-1.0,267379.26100498199,-1.0,true,566498,3409,1.1525080000000001,195.32980000000001,0.0381099,0.64248090000000002,2.38557,-1.5662450000000001,1.76803,0.898588,853.90089999999998,1507.4200000000001,0.0,0.0,53.338520000000003,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,293.36410000000001,81.535799999999995,-0.57941450000000005,2.5000619999999998,0.59823519999999997,2.5000680000000002,0.83283050000000003,2.5000650000000002,-1.700725,2.5000610000000001,1.9097470000000001,2.500067,2.5572629999999998,2.5000640000000001
00003921749-02,3921749,2,s0003,2021-06-01,5.61111,8.8323299999999995E-5,1382.9100000000001,1.3041400000000001E-3,2458382.9100000001,1.3041400000000001E-3,9.2688300000000001E-2,4.5265499999999998E-3,5.2217099999999999,0.0134447,88.902699999999996,0.41108099999999997,0.10000000000000001,6.4228000000000002E-3,9.0,3.1643299999999999E-2,0.77922599999999997,1.5821600000000002E-2,10490.4,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.65665130000000005,-0.16293340000000001,0.43707509999999999,-0.1606611,4,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,8.6199429999999992,10.04715,2.7228599999999998,549,623.53499999999997,8.5765399999999996,2.7738999999999998,5.3005900000000002E-2,1.6400200000000001E-3,707.03599999999994,143.72,59.059100000000001,6774.1899999999996,2,0001,4007.0,128.51400000000001,4.3810399999999996,0.125003,0.0,0.0,0.84758699999999998,9.1175800000000001E-2,1.0347980000000001,0.3179671,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,5.6111088421130297,-1.0,1382.88590626682,-1.0,2458382.885906267,-1.0,14.9474370257964,-1.0,1.57816246082644,-1.0,1167.2409241653199,-1.0,true,13511,6164,2.8949180000000001,4030.9059999999999,-0.0444896,0.57405949999999994,137.2773,-154.71090000000001,3.14859,2.78331,114.1533,154.44640000000001,0.0,53.338520000000003,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.6690775422816498E-18,121.0509,-45.60192,23.310700000000001,5,-3.1828810000000001,1.6468499999999999,0.5357499,2.500073,-0.50849460000000002,2.5000840000000002,0.73864390000000002,2.5000779999999998,-0.55155030000000005,2.5000719999999998,0.75909459999999995,2.5000830000000001,0.93831359999999997,2.5000789999999999
00010756751-01,10756751,1,s0003,2021-06-01,3.4902799999999998,8.8323299999999995E-5,1384.51,1.3041400000000001E-3,2458384.5099999998,1.3041400000000001E-3,2.5302000000000002E-2,4.5265499999999998E-3,4.5742700000000003,0.0134447,88.747299999999996,0.41108099999999997,0.10000000000000001,6.4228000000000002E-3,6.0,3.1643299999999999E-2,0.15190600000000001,1.5821600000000002E-2,0.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,35.227879999999999,111.62520000000001,1.26051,893,6441.7520000000004,10.156000000000001,2.7738999999999998,5.0642399999999997E-2,1.6400200000000001E-3,2520.21,143.72,9533.7700000000004,6774.1899999999996,1,0001,6703.0,132.64400000000001,3.4594299999999998,9.0826599999999993E-2,0.0,0.0,3.6767500000000002,0.17794199999999999,2.8573649999999999E-2,6.1336969999999996E-3,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,3.4902763366699201,-1.0,1384.5045301728901,-1.0,2458384.5045301728,-1.0,10.5934756694862,-1.0,4.3316083137568704,-1.0,283482.38862566202,-1.0,true,168609,6377,2.1184069999999999,1941.4549999999999,-0.0168296,0.50790970000000002,5.9153099999999998,-11.120900000000001,1.7958099999999999,1.78331,78.033839999999998,24.940339999999999,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,25.816140000000001,12.23516,0.1130481,2.500003,-0.12092020000000001,2.500003,0.16553419999999999,2.500003,0.59839200000000003,2.5000010000000001,-0.61063129999999999,2.5000019999999998,0.8549523,2.5000019999999998
00010802452-01,10802452,1,s0003,2021-06-01,13.5451,8.8323299999999995E-5,1390.1800000000001,1.3041400000000001E-3,2458390.1800000002,1.3041400000000001E-3,2.1043900000000001E-2,4.5265499999999998E-3,46.1875,0.0134447,89.3857,0.41108099999999997,0.49521799999999999,6.4228000000000002E-3,2.00068,3.1643299999999999E-2,0.0542855,1.5821600000000002E-2,498.995,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.64414099999999996,-0.39176650000000002,0.84999829999999998,-0.40021889999999999,2,mandel-agol_geometric_transit_model,true,8.0766010000000001,546.78679999999997,579.78060000000005,7.8739889999999999,7.9222429999999999,4.2592299999999996,119,148.17859999999999,1.91113,2.7738999999999998,0.10821699999999999,1.6400200000000001E-3,650.12300000000005,143.72,42.218600000000002,6774.1899999999996,1,0001,5314.0,101.116,4.5617400000000004,7.4447100000000002E-2,-4.0000000000000001E-2,0.10000000000000001,0.83187900000000004,3.7497500000000003E-2,1.5983780000000001,0.28330949999999999,TIC8.1,TIC8.1,TIC8.1,TIC8.1,TIC8.1-Der,13.534716606140099,-1.0,1390.1818864398001,-1.0,2458390.1818864397,-1.0,1.82564280245444,-1.0,0.0245081186387805,-1.0,583.55579084845294,-1.0,true,15393,932,2.1294309999999999,150.8768,-0.00838568,0.56540170000000001,2.6465200000000002,-2.919095,-2.5402999999999998,-2.7153,21.53633,13.079639999999999,1.775164,0.0,0.0,266.14019999999999,476.06360000000001,4059.8850000000002,1813.3230000000001,0.55694279999999996,1.8802449999999999,1.5655938698105401E-10,11.62421,-7.620539,3.2898480000000001,2,2.9078369999999998,2.5440870000000002,0.82194780000000001,2.522605,5.0407470000000003E-2,2.5246930000000001,0.82349190000000005,2.5226130000000002,0.51023609999999997,2.522602,-0.23815069999999999,2.5246900000000001,0.56307779999999996,2.5229750000000002
00010838695-01,10838695,1,s0003,2021-06-01,2.30694,8.8323299999999995E-5,1382.04,1.3041400000000001E-3,2458382.04,1.3041400000000001E-3,0.113251,4.5265499999999998E-3,5.6207099999999999,0.0134447,88.980599999999995,0.41108099999999997,0.10000000000000001,6.4228000000000002E-3,3.5,3.1643299999999999E-2,0.36272599999999999,1.5821600000000002E-2,0.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,190.89930000000001,3277.1970000000001,235.63589999999999,678,69200.619999999995,26.192699999999999,2.7738999999999998,4.3429700000000002E-2,1.6400200000000001E-3,2565.98,143.72,10245.4,6774.1899999999996,1,0001,8326.0,133.48699999999999,4.0977499999999996,7.4559500000000001E-2,0.0,0.0,2.1185299999999998,0.0892762,0.21563309999999999,3.8118730000000003E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,2.3069434165954599,-1.0,1382.0542043222099,-1.0,2458382.0542043224,-1.0,6.0577718823396998,-1.0,2.4553330443552999,-1.0,359170.38754692802,-1.0,true,190704,6361,5.8487090000000004,3566.8510000000001,-0.0465334,0.84107359999999998,7.0156999999999998,-5.425586,1.15137,1.08748,124.9509,293.33879999999999,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,152.31790000000001,86.87106,-0.19029679999999999,2.5000070000000001,-0.1558224,2.5000049999999998,0.24595429999999999,2.500006,-1.2686249999999999,2.5000040000000001,-0.84248480000000003,2.500003,1.5228889999999999,2.5000040000000001
00011487334-01,11487334,1,s0003,2021-06-01,0.383963,8.8323299999999995E-5,1382.3599999999999,1.3041400000000001E-3,2458382.3599999999,1.3041400000000001E-3,0.25676199999999999,4.5265499999999998E-3,1.7049000000000001,0.0134447,54.497300000000003,0.41108099999999997,0.99010500000000001,6.4228000000000002E-3,1.73533,3.1643299999999999E-2,0.86766500000000002,1.5821600000000002E-2,28550.0,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.47213460000000002,0.31077830000000001,-0.14742849999999999,-3.7782649999999998E-3,47,mandel-agol_geometric_transit_model,true,23.137640000000001,8912.1129999999994,11416.07,8.9145040000000009,51.948250000000002,13.640610000000001,1304,1207.4870000000001,40.308300000000003,2.7738999999999998,1.0900200000000001E-2,1.6400200000000001E-3,3116.46,143.72,22292.799999999999,6774.1899999999996,1,0001,6149.0,133.316,4.1907300000000003,8.4604700000000005E-2,0.0,0.0,1.43801,7.2512599999999997E-2,0.39352110000000001,7.9188239999999993E-2,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.38386514782905601,-1.0,1382.36427663264,-1.0,2458382.3642766327,-1.0,1.56957632170874,-1.0,0.640786931614446,-1.0,31977.962283827401,-1.0,true,15640,6369,11.61294,11575.08,0.0154903,2.69861,10.14296,-6.797237,0.19495000000000001,0.158842,10.318110000000001,7.44442,4.9618860000000004E-3,0.0,0.0,0.4656671,0.26848680000000003,3980.3409999999999,564.60140000000001,-1.990165,1.494208,1.9764832630719399E-15,6.7486509999999997,-0.06631708,0.95600169999999995,71,13.8825,12.35496,-0.01538409,2.5000290000000001,0.08933547,2.5000420000000001,9.0650410000000001E-2,2.5000420000000001,1.3012370000000001E-2,2.5000270000000002,-0.15122730000000001,2.500041,0.15178610000000001,2.500041
00011518868-01,11518868,1,s0003,2021-06-01,6.6665200000000002,8.8323299999999995E-5,1387.1300000000001,1.3041400000000001E-3,2458387.1299999999,1.3041400000000001E-3,3.3945599999999999E-2,4.5265499999999998E-3,4.9063999999999997,0.0134447,79.585499999999996,0.41108099999999997,0.88692300000000002,6.4228000000000002E-3,5.61998,3.1643299999999999E-2,0.78721200000000002,1.5821600000000002E-2,997.27300000000002,864.91700000000003,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.68552080000000004,-0.56290399999999996,1.069474,-0.46404640000000003,3,mandel-agol_geometric_transit_model,true,8.3038699999999999,2272.9540000000002,2185.2280000000001,7.6692770000000001,8.1851090000000006,22.216560000000001,436,453.44999999999999,9.6560799999999993,2.7738999999999998,0.13133,1.6400200000000001E-3,980.96699999999998,143.72,218.846,6774.1899999999996,1,0001,4991.0,123.0,4.4379999999999997,0.0,0.0,0.0,2.6056400000000002,0.0,1.0,0.0,TIC8.1,Solar,Solar,TIC8.1,Solar,6.6638860702514604,-1.0,1387.2125422424499,-1.0,2458387.2125422424,-1.0,1.15688308547643,-1.0,3.9454531411749002E-5,-1.0,347.811509093805,-1.0,true,18489,3337,1.9905889999999999,401.50510000000003,-0.0643555,0.61875429999999998,4.0690099999999996,-3.4647760000000001,1.9138599999999999,3.04442,16.35379,14.72091,6.7278950000000002,0.0,0.0,40.859529999999999,20.532609999999998,3834.5839999999998,490.91759999999999,1.941279,5.8057879999999997,1.17962957651483E-11,15.08957,-2.504937,2.764284,4,4.4859099999999996,1.254516,2.5337670000000001,2.790889,4.9803670000000002,3.1179670000000002,5.5878459999999999,3.053579,2.6002619999999999,2.790886,5.0021069999999996,3.117966,5.6375909999999996,3.0513210000000002
