#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2019199201929                                                     
#Sectors = s0014-s0014                                                          
#Created Date = 2021-05-13                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00007849727-01,7849727,1,s0014,2021-05-13,0.49666300000000002,,1683.6700000000001,,2458683.6699999999,,0.448044,,1.5417400000000001,,67.197800000000001,,0.59750199999999998,,4.5121200000000004,,2.2560600000000002,,200651.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.41466599999999998,0.61456809999999995,-0.64673369999999997,0.2208918,52,mandel-agol_geometric_transit_model,true,286.48379999999997,13778.280000000001,16653.950000000001,221.3108,4356.7330000000002,970.87130000000002,2268,11972.84,114.068,,0.0,,0.0,,0.0,,1,000000000000001,6599.9099999999999,111.90600000000001,3.84246,8.2445000000000004E-2,1.2999999999999999E-2,3.5999999999999997E-2,2.3320699999999999,9.4103000000000006E-2,0.1088224,2.1120010000000002E-2,TIC8,TIC8,TIC8,TIC8,TIC8-Deriv,0.49657472968101501,-1.0,1683.66920419194,-1.0,2458683.6692041918,-1.0,2.14768200284046,-1.0,0.86328393113224999,-1.0,112656.697329209,-1.0,true,91836,9054,1.89486,422.5351,-0.427225,1.8643890000000001,4.7092700000000001,-3.9777900000000002,0.36738999999999999,0.318774,29.87415,100.9477,49.683059999999998,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,163.72399999999999,154.41550000000001,-1.3549729999999999E-2,2.5000040000000001,-0.1230888,2.5000079999999998,0.12383230000000001,2.5000079999999998,0.99157419999999996,2.5000019999999998,0.47721249999999998,2.5000049999999998,1.1004320000000001,2.500003
00010337969-01,10337969,1,s0014,2021-05-13,13.9475,,1685.45,,2458685.4500000002,,0.122277,,102.886,,89.993099999999998,,1.2412899999999999E-2,,1.16221,,0.12664900000000001,,17670.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.68440069999999997,0.17413790000000001,-7.9602989999999998E-2,-0.01001724,2,mandel-agol_geometric_transit_model,true,13.77427,419.18549999999999,347.17989999999998,8.1567270000000001,9.4786839999999994,10.31775,58,67.383589999999998,7.1958099999999998,,9.2124200000000003E-2,,372.83699999999999,,4.5666599999999997,,1,000000000000001,3493.0,157.0,4.7034000000000002,9.1586299999999992E-3,0.0,0.0,0.539053,0.0158417,3.4179719999999998,0.1236334,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,13.948605537414601,-1.0,1685.45673455106,-1.0,2458685.4567345511,-1.0,0.91672024641907801,-1.0,9.1107848823471602E-2,-1.0,14595.361819022501,-1.0,true,13521,474,2.689762,3473.223,0.0408824,0.58303519999999998,3.53681,-3.7358699999999998,1.82637,1.85831,14.60017,15.42456,0.36633589999999999,0.0,0.0,313.18150000000003,146.71780000000001,2424.9839999999999,303.85599999999999,2.1277689999999998,6.7432489999999996,2.1568665882451401E-19,7.9496770000000003,-2.7380110000000002,2.034198,2,6.5890959999999996,1.2516970000000001,4.0786199999999999,3.5926040000000001,-12.5814,3.5166979999999999,13.225989999999999,3.523987,4.9721260000000003,3.5926269999999998,-0.97626800000000002,3.5166919999999999,5.0670640000000002,3.5898370000000002
00011119600-01,11119600,1,s0014,2021-05-13,0.61063699999999999,,1683.73,,2458683.73,,0.23965,,3.91099,,88.534800000000004,,0.10000000000000001,,1.5,,0.29749599999999998,,64564.300000000003,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40949989999999997,0.64317939999999996,-0.71537360000000005,0.25228099999999998,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,487.55290000000002,21847.59,11639.99,1381,125366.3,47.0199,,1.6133499999999999E-2,,3212.0999999999999,,25158.0,,1,000000000000001,6897.0,233.16900000000001,4.1049499999999997,8.7731500000000004E-2,0.0,0.0,1.79722,7.3010000000000005E-2,0.25843329999999998,5.3251079999999999E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,0.61063706874847401,-1.0,1683.73138810253,-1.0,2458683.7313881028,-1.0,3.17362762428069,-1.0,1.5864522997966599,-1.0,575776.68451949896,-1.0,true,81225,6834,0.90653810000000001,505.61649999999997,-0.477711,0.73090639999999996,2.4753599999999998,-2.146506,0.16248000000000001,0.423114,105.4811,459.22770000000003,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,203.27889999999999,222.55090000000001,1.039447,2.5000040000000001,9.2746779999999998,2.5000049999999998,9.3327449999999992,2.5000049999999998,-0.605321,2.500003,-0.373749,2.5000049999999998,0.71140829999999999,2.500003
00012456725-01,12456725,1,s0014,2021-05-13,17.123000000000001,,1686.8099999999999,,2458686.8100000001,,1.7871999999999999,,6.2535400000000001,,88.783799999999999,,0.13273599999999999,,60.369,,30.1845,,1000000.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.65480000000000005,0.3397,-0.31190000000000001,7.9200000000000007E-2,2,mandel-agol_geometric_transit_model,false,3.4925809999999999,9145.9570000000003,3495.5799999999999,11.51008,13.580299999999999,109.7187,874,1037.8900000000001,26.025400000000001,,6.1907999999999998E-2,,183.626,,0.26869100000000001,,1,000000000000001,2835.0,157.0,5.22037,5.5955100000000001E-2,0.0,0.0,0.13339000000000001,3.9342999999999999E-3,45.419919999999998,6.0033450000000004,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,17.018049240112301,-1.0,1686.4721903392001,-1.0,2458686.4721903391,-1.0,12.4119486369116,-1.0,0.99551549959723595,-1.0,103977.257742802,-1.0,true,20906,6113,0.26644370000000001,7089.5820000000003,0.00323129,0.54905459999999995,1.08291,-1.6808689999999999,-2.6222400000000001,-2.04586,31.122060000000001,23.78932,0.0,0.0,0.0,22.069590000000002,77.0672,615.34990000000005,538.10249999999996,0.27339239999999998,0.80214249999999998,0.0,3.02521,1.347286,0.33450220000000003,2,8.5296470000000006,0.63535589999999997,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
00012494582-01,12494582,1,s0014,2021-05-13,0.83073200000000003,,1684.02,,2458684.02,,5.4015199999999999E-2,,2.3066900000000001,,87.515299999999996,,0.10000000000000001,,3.0,,0.16577800000000001,,270477.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,104.4812,1014.03,333.75409999999999,1877,22636.459999999999,62.065300000000001,,8.3102899999999993E-2,,4271.6800000000003,,78689.199999999997,,1,000000000000001,8602.0,125.0,4.4379999999999997,0.0,0.0,0.0,10.5252,0.0,1.0,0.0,TIC8,Solar,Solar,TIC8,Solar,0.83073180913925204,-1.0,1684.0259182989601,-1.0,2458684.0259182989,-1.0,4.82219278394148,-1.0,1.9466144186717,-1.0,239776.79445428099,-1.0,true,63490,6882,2.3339910000000001,1418.4280000000001,-0.222152,0.70478750000000001,2.8683700000000001,-3.3347280000000001,0.21959999999999999,0.283487,24.475339999999999,86.206810000000004,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,30.51173,48.541049999999998,3.2723460000000002,2.5000070000000001,3.0364110000000002,2.5000019999999998,4.4640829999999996,2.5000049999999998,-0.36342229999999998,2.5000010000000001,-8.8398519999999994E-2,2.5000019999999998,0.37401879999999998,2.5000010000000001
00012915124-01,12915124,1,s0014,2021-05-13,3.1638899999999999,,1684.26,,2458684.2599999998,,0.161108,,6.2501899999999999,,89.083299999999994,,0.10000000000000001,,4.5,,0.63449900000000004,,291520.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.57129359999999996,-8.5471240000000004E-2,0.4172728,-0.23797879999999999,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,188.41,2924.806,3956.5439999999999,804,23322.119999999999,17.588100000000001,,4.2199100000000003E-2,,1241.5599999999999,,561.55799999999999,,3,000000000000001,5780.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,3.1638875007629399,-1.0,1684.2612533357001,-1.0,2458684.2612533355,-1.0,6.1020005027197604,-1.0,2.53525914158595,-1.0,265208.42378952302,-1.0,true,78019,6550,33.491990000000001,54611.449999999997,0.145448,2.6588790000000002,51.695950000000003,-35.005270000000003,1.7152499999999999,1.56664,116.2602,234.5633,0.0,0.0,2.2185609999999998E-6,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,83.170839999999998,78.893929999999997,-1.2587470000000001,2.5000140000000002,-0.34358519999999998,2.5000209999999998,1.304797,2.5000140000000002,0.32774730000000002,2.5000119999999999,0.66199390000000002,2.5000200000000001,0.73868409999999995,2.5000179999999999
00012915124-02,12915124,2,s0014,2021-05-13,3.1644399999999999,,1685.96,,2458685.96,,0.52362500000000001,,4.0822799999999999,,77.626599999999996,,0.87475999999999998,,7.69224,,3.84612,,158691.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.57129359999999996,-8.5471240000000004E-2,0.4172728,-0.23797879999999999,7,mandel-agol_geometric_transit_model,true,185.84899999999999,5221.8320000000003,6041.6750000000002,34.64546,118.5557,8.1328300000000002,295,330.53379999999999,57.164000000000001,,4.2203999999999998E-2,,1241.49,,561.42700000000002,,3,000000000000001,5780.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,3.1638875406001699,-1.0,1685.9604291837099,-1.0,2458685.9604291837,-1.0,5.7595217630116302,-1.0,2.3608787069267998,-1.0,94377.506182989397,-1.0,true,12987,2626,4.3219079999999996,6629.7209999999995,0.0155554,0.64502499999999996,5.6076800000000002,-4.1101739999999998,1.7805299999999999,1.00831,28.788730000000001,22.233599999999999,0.51230469999999995,2.2185609999999998E-6,0.000002068556,1.9880709999999999,3.8701639999999999,2279.248,1109.249,0.2553048,0.93555069999999996,4.0934531374192804E-180,5.7085299999999997,0.28809649999999998,0.76751049999999998,8,158.52019999999999,52.303870000000003,-1.12232,2.5000369999999998,-0.12296940000000001,2.500057,1.1290359999999999,2.5000369999999998,0.46398729999999999,2.5000360000000001,0.86260760000000003,2.5000559999999998,0.9794775,2.500051
00012915124-03,12915124,3,s0014,2021-05-13,3.1650700000000001,,1684.54,,2458684.54,,0.207396,,2.5452699999999999,,67.107799999999997,,0.99010500000000001,,7.2330800000000002,,3.6165400000000001,,18295.200000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.57129359999999996,-8.5471240000000004E-2,0.4172728,-0.23797879999999999,7,mandel-agol_geometric_transit_model,true,11.170629999999999,3015.8499999999999,3627.393,7.7871610000000002,10.057650000000001,13.50949,203,215.56700000000001,22.641400000000001,,0.0422096,,1241.4100000000001,,561.27800000000002,,3,000000000000001,5780.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,3.16362706740053,-1.0,1684.5350866753199,-1.0,2458684.5350866755,-1.0,6.8097828771796403,-1.0,3.4048914385898201,-1.0,1832.1779357754399,-1.0,true,7920,1596,5.9801419999999998,10145.040000000001,0.0369617,0.33879730000000002,8.71828,-5.0720929999999997,-0.61112999999999995,-0.762523,47.474589999999999,12.422549999999999,0.54533569999999998,0.000002068556,0.0,19.39742,53.299370000000003,4028.011,2766.9720000000002,0.34517150000000002,1.0070950000000001,2.64671448013266E-55,5.7614840000000003,0.23240949999999999,0.78040229999999999,9,0.70518139999999996,-1.5227109999999999,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
00014207118-01,14207118,1,s0014,2021-05-13,2.7046899999999998,,1684.72,,2458684.7200000002,,0.23127600000000001,,3.43987,,79.478200000000001,,0.62815600000000005,,6.5805199999999999,,1.93275,,55998.5,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40668840000000001,0.68313159999999995,-0.76402559999999997,0.27506239999999998,8,mandel-agol_geometric_transit_model,true,254.4144,5643.732,7364.857,77.782979999999995,552.42790000000002,33.476190000000003,1197,10979.030000000001,82.609700000000004,,4.2533899999999999E-2,,2574.7800000000002,,10386.799999999999,,2,000000000000001,6653.0,131.71299999999999,3.55491,9.1281000000000001E-2,0.0,0.0,3.2718799999999999,0.13961299999999999,4.0004829999999998E-2,8.5798330000000003E-3,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,2.7041654586792001,-1.0,1684.7185372379699,-1.0,2458684.718537238,-1.0,6.3222441615374096,-1.0,1.80059910481538,-1.0,57761.605103077403,-1.0,true,31406,7708,9.5641780000000001,4696.9040000000005,0.0442991,0.78638770000000002,12.68491,-7.6674740000000003,1.3569199999999999,1.14998,39.784410000000001,105.2563,0.60466949999999997,0.0,6.2696070000000001E-6,0.68500779999999994,0.1094256,3621.636,96.441149999999993,-2.8785989999999999,7.3348719999999998,0.0,10.46007,-1.4326909999999999,1.670563,10,83.643039999999999,23.105740000000001,2.2378149999999999,2.500006,-1.269938,2.5000070000000001,2.5730439999999999,2.500006,-0.3028187,2.500003,-0.20852999999999999,2.500006,0.36767369999999999,2.5000040000000001
00014207118-02,14207118,2,s0014,2021-05-13,2.7055500000000001,,1683.3499999999999,,2458683.3500000001,,1.9274199999999998E-2,,4.2354900000000004,,88.647099999999995,,0.10000000000000001,,5.0,,9.7281699999999999E-2,,421.10300000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40668840000000001,0.68313159999999995,-0.76402559999999997,0.27506239999999998,7,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,17.459479999999999,29.978090000000002,44.672600000000003,891,918.49950000000001,6.8845700000000001,,4.2542999999999997E-2,,2574.5100000000002,,10382.4,,2,000000000000001,6653.0,131.71299999999999,3.55491,9.1281000000000001E-2,0.0,0.0,3.2718799999999999,0.13961299999999999,4.0004829999999998E-2,8.5798330000000003E-3,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,2.7055544025852201,-1.0,1683.3657739094499,-1.0,2458683.3657739093,-1.0,7.0319111778417396,-1.0,1.87308299295967,-1.0,20704.1256241146,-1.0,true,168480,6199,-0.1735778,-131.93299999999999,0.00173212,0.35711929999999997,0.97872000000000003,-2.142728,0.55691999999999997,0.612477,13.97992,17.420069999999999,0.0,6.2696070000000001E-6,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,7.7578493613912403E-30,10.46007,-1.4326909999999999,1.670563,10,15.491479999999999,5.7402230000000003,2.573331,2.500041,-1.0911390000000001,2.5000629999999999,2.7951060000000001,2.5000450000000001,4.7473130000000002E-2,2.500038,-0.01072529,2.5000629999999999,0.0486696,2.5000390000000001
